NOMBRE_COMUNA_EGRESO,MRUN,PROMEDIO_NOTAS,PTJE_NEM,PTJE_RANKING,CLEC_ACTUAL,MATE_ACTUAL,PROM_CM_ACTUAL
CERRILLOS,12287680.613235295,5.739205882352941,567.9191176470588,600.475,503.4088235294118,498.1720588235294,500.7904411764706
CERRO NAVIA,13138512.278592376,5.728152492668621,565.7595307917888,597.9266862170088,451.5865102639296,463.0469208211144,457.316715542522
CONCHALI,13251486.75308642,5.744532627865961,569.0846560846561,605.021164021164,470.47971781305114,464.989417989418,467.7345679012346
EL BOSQUE,12729234.5868681,5.850877396862289,592.6536897152818,618.7484020918071,499.32481115630446,494.7704822777455,497.047646717025
ESTACION CENTRAL,13120759.802721089,5.9331368102796676,610.8450491307634,641.1073318216175,489.36810279667424,486.3000755857899,487.83408919123207
HUECHURABA,12627549.683109118,6.109521674140508,649.5306427503737,668.5291479820628,541.4843049327354,556.0702541106128,548.7772795216741
INDEPENDENCIA,13296639.020308692,5.887367993501218,600.5231519090171,622.9593826157595,490.99675060926074,484.72948822095856,487.8631194151097
LA CISTERNA,12810841.014102032,5.836984653670676,589.6611364579013,616.2596433015347,488.96930734135213,484.21484861053506,486.5920779759436
LA FLORIDA,12795085.989357797,5.866392660550459,595.7796330275229,620.0289908256881,516.9565137614679,509.9807339449541,513.468623853211
LA GRANJA,12908473.46978022,5.7996978021978025,581.4024725274726,613.5837912087912,479.44505494505495,472.9010989010989,476.1730769230769
LA PINTANA,12863430.317681585,5.7388187820983125,568.2010271460015,595.0381511371974,473.8341892883345,467.7498165810712,470.79200293470285
LA REINA,12888981.40391909,6.134279393173198,654.7806573957016,669.5714285714286,572.2281921618205,582.9728192161821,577.6005056890012
LAS CONDES,12649883.69884996,6.169887670500134,662.6531158063653,677.2273335116341,585.4658999732549,600.6993848622626,593.0826424177587
LO BARNECHEA,12608124.717105264,6.217485380116959,673.1125730994152,687.4495614035088,587.6337719298245,627.3399122807018,607.4868421052631
LO ESPEJO,12798178.675516224,5.72433628318584,564.834808259587,598.6342182890855,460.29498525073745,468.51917404129796,464.4070796460177
LO PRADO,13446175.735099338,5.8548675496688745,593.4105960264901,618.1953642384105,469.02649006622516,463.97350993377484,466.5
MACUL,12709316.991675338,5.846149843912591,591.3704474505723,615.789802289282,511.48178980228926,507.18106139438083,509.33142559833504
MAIPU,12625251.149670148,5.864686641011545,595.6577789994502,618.3989829576691,513.0696811434855,509.49285321605277,511.2812671797691
PEDRO AGUIRRE CERDA,12420178.02895323,5.721559020044544,564.4832962138084,593.0890868596882,486.4432071269488,480.902004454343,483.6726057906459
PEÑALOLEN,12734939.655079007,5.974320541760723,619.5250564334086,639.4893905191874,526.6460496613995,532.7435665914221,529.6948081264109
PROVIDENCIA,12815438.679809976,6.106479809976247,648.8434679334916,664.069596199525,563.8940617577197,559.5693586698337,561.7317102137768
PUDAHUEL,12595592.45062696,5.797225705329153,581.0368338557994,605.0478056426332,485.7437304075235,487.8205329153605,486.782131661442
QUILICURA,13086262.471191792,5.875753749013417,598.0489344909234,623.2778216258879,504.7576953433307,508.7683504340963,506.7630228887135
QUINTA NORMAL,13263828.773044152,5.745344694035631,569.6189000774593,600.437645236251,479.32920216886134,475.8528272656855,477.5910147172734
RECOLETA,13243126.73269328,5.809747347145023,583.6417382516422,610.6856998484083,489.76149570490145,488.16523496715513,488.9633653360283
RENCA,12726844.218668971,5.878081244598098,598.9818496110631,629.2938634399309,488.91011235955057,488.7381158167675,488.82411408815904
SAN JOAQUIN,13287578.910411622,5.757070217917676,572.2615012106537,603.3075060532688,457.67070217917677,452.3849878934625,455.0278450363196
SAN MIGUEL,13035685.698988196,5.864784991568297,595.9329679595278,618.1483979763913,495.8060708263069,483.6344856661046,489.72027824620574
SAN RAMON,12657582.2112,5.643456,546.4768,573.6848,465.616,469.1952,467.4056
SANTIAGO,12995243.703470347,5.919302930293029,607.8727872787279,625.5820582058205,525.6659665966597,515.1807180718072,520.4233423342334
VITACURA,12690349.902846534,6.27075495049505,684.7939356435644,695.7023514851485,603.6138613861386,630.5402227722773,617.0770420792079
ÑUÑOA,12894741.803823775,5.915320033250207,606.8653366583541,630.3524522028263,535.8827930174564,529.2479911332779,532.5653920753672
